2026/5/12									
市场	公司名称	成本价	当前价	pos/cost	pos/curr	盈亏%	持有数量	投入	当前
HK	天齐锂业	HK$45.2 	HK$60.7 		38.5%	34.2%	20000 	78.5万	105.3万
FU	LC2701	16.0万	14.0万		12.4%	6.3%	4 	32.0万	34.0万
OP	LC2607_C18000	1.2万	2.5万		0.0%	115.4%	15 		
US	传奇生物	$27.3 	$25.58 		13.4%	-6.3%	2100 	38.9万	36.5万
CN	海螺水泥	¥21.7 	¥21.40 		21.8%	-1.6%	27800 	60.4万	59.5万
CN	青松建化	¥4.1 	¥4.10 		3.7%	-0.2%	24600 	10.1万	10.1万
HK	保利物业	HK$31.2 	HK$32.7 		1.7%	4.7%	1600 	4.3万	4.5万
HK	中海物业	HK$4.0 	HK$4.2 		2.0%	4.8%	15000 	5.2万	5.5万
HK	中国民航	HK$9.9 	HK$9.9 		1.6%	0.1%	5000 	4.3万	4.3万
HK	同仁堂国药	HK$7.7 	HK$7.5 		1.7%	-1.7%	7000 	4.6万	4.6万
HK	腾讯控股	HK$470.0 	HK$460.4 		2.9%	-2.0%	200 	8.2万	8.0万
HK	泡泡玛特	HK$172.0 	HK$162.1 		0.0%	-5.8%		0.0万	0.0万
	总计			99.6%					272.2万
									
现金	银行	A股	境外	信用卡	分期剩余	合计	整体	仓位	股票+现金
	4.0 		-3.0 		-0.5 	1.0 		99.6%	273.2万
							合计未扣除分期付款		
年初	250.5万						盈利	东财	
工资结余	15.0万							富途	
基数	258.0万							雪球	
收益	7.7万							期货	
收益率	2.99%							累计	0.0 
